lat,lon,avg_score
38.0,33.67,0.69434
38.33,34.33,0.66323
38.33,33.67,0.67355
37.67,34.33,0.67856
37.67,33.67,0.69645
38.33,35.0,0.65861
37.67,35.0,0.66713
38.0,35.33,0.67589
38.0,34.67,0.67662
38.33,35.33,0.65176
38.33,34.67,0.65355
37.67,35.33,0.66239
37.67,34.67,0.66421
38.33,36.0,0.66125
37.67,36.0,0.67514
38.0,36.33,0.68314
38.0,35.67,0.6787
38.33,36.33,0.65856
38.33,35.67,0.65393
37.67,36.33,0.6769
37.67,35.67,0.66769
38.33,37.0,0.67388
37.67,37.0,0.69586
38.0,37.33,0.69355
38.0,36.67,0.69613
38.33,37.33,0.66214
38.33,36.67,0.66536
37.67,37.33,0.6891
37.67,36.67,0.68872
38.33,38.0,0.6472
37.67,38.0,0.67545
38.0,38.33,0.66263
38.0,37.67,0.66808
38.33,38.33,0.64235
38.33,37.67,0.65007
37.67,38.33,0.67764
37.67,37.67,0.68119
38.33,39.0,0.64586
37.67,39.0,0.67948
38.0,39.33,0.66412
38.0,38.67,0.66523
38.33,39.33,0.64176
38.33,38.67,0.64133
37.67,39.33,0.67948
37.67,38.67,0.67949
38.33,40.0,0.64034
37.67,40.0,0.66664
38.0,40.33,0.64692
38.0,39.67,0.6515
38.33,40.33,0.63964
38.33,39.67,0.64049
37.67,40.33,0.66746
37.67,39.67,0.67385
38.33,41.0,0.63417
37.67,41.0,0.65176
38.0,41.33,0.63333
38.0,40.67,0.63628
38.33,41.33,0.63622
38.33,40.67,0.63743
37.67,41.33,0.65475
37.67,40.67,0.65973
38.33,42.0,0.63999
37.67,42.0,0.65506
38.0,42.33,0.6488
38.0,41.67,0.63432
38.33,42.33,0.65423
38.33,41.67,0.64046
37.67,42.33,0.67375
37.67,41.67,0.65783
38.33,43.0,0.69566
37.67,43.0,0.71986
38.0,43.33,0.71796
38.0,42.67,0.71389
38.33,43.33,0.68009
38.33,42.67,0.6797
37.67,43.33,0.71001
37.67,42.67,0.70441
38.33,44.0,0.65589
37.67,44.0,0.68655
38.0,43.67,0.67647
38.33,44.33,0.65882
38.33,43.67,0.66188
37.67,44.33,0.69537
37.67,43.67,0.69588
39.33,27.0,0.40797
38.67,27.0,0.46454
39.0,27.33,0.41293
39.33,27.33,0.4007
38.67,27.33,0.46805
39.33,28.0,0.3769
38.67,28.0,0.43966
39.0,28.33,0.40228
39.0,27.67,0.40262
39.33,28.33,0.37359
39.33,27.67,0.37687
38.67,28.33,0.44597
38.67,27.67,0.44799
39.33,29.0,0.37504
38.67,29.0,0.43748
39.0,29.33,0.40697
39.0,28.67,0.40214
39.33,29.33,0.37464
39.33,28.67,0.37026
38.67,29.33,0.44656
38.67,28.67,0.44279
39.33,30.0,0.40536
