lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.0,29.68,0.321,0.5275,0.353,0.337
41.0,29.71,0.321,0.5275,0.353,0.418
41.02,28.48,0.319,0.5225,0.309,0.298
41.02,28.51,0.319,0.5225,0.309,0.298
41.02,28.54,0.319,0.5225,0.309,0.298
41.02,28.6,0.319,0.5225,0.309,0.298
41.02,28.63,0.319,0.5225,0.309,0.298
41.02,28.66,0.319,0.5225,0.309,0.298
41.02,28.69,0.319,0.5225,0.309,0.298
41.02,28.72,0.319,0.5225,0.309,0.298
41.02,28.75,0.319,0.5225,0.309,0.298
41.02,28.78,0.319,0.5225,0.309,0.298
41.02,28.81,0.319,0.5225,0.309,0.298
41.02,28.84,0.319,0.5225,0.309,0.298
41.02,28.87,0.319,0.5225,0.309,0.298
41.02,28.9,0.319,0.5225,0.309,0.298
41.02,28.93,0.319,0.5225,0.309,0.298
41.02,28.96,0.319,0.5225,0.309,0.298
41.02,29.02,0.321,0.5275,0.353,0.298
41.02,29.05,0.321,0.5275,0.353,0.298
41.02,29.08,0.321,0.5275,0.353,0.337
41.02,29.11,0.321,0.5275,0.353,0.337
41.02,29.14,0.321,0.5275,0.353,0.337
41.02,29.17,0.321,0.5275,0.353,0.337
41.02,29.2,0.321,0.5275,0.353,0.337
41.02,29.23,0.321,0.5275,0.353,0.337
41.02,29.26,0.321,0.5275,0.353,0.337
41.02,29.29,0.321,0.5275,0.353,0.337
41.02,29.32,0.321,0.5275,0.353,0.337
41.02,29.35,0.321,0.5275,0.353,0.337
41.02,29.38,0.321,0.5275,0.353,0.337
41.02,29.41,0.321,0.5275,0.353,0.337
41.02,29.44,0.321,0.5275,0.353,0.337
41.02,29.47,0.321,0.5275,0.353,0.337
41.02,29.5,0.321,0.5275,0.353,0.337
41.02,29.62,0.321,0.5275,0.353,0.337
41.02,29.65,0.321,0.5275,0.353,0.337
41.02,29.68,0.321,0.5275,0.353,0.337
41.02,29.83,0.321,0.5275,0.353,0.418
41.04,28.03,0.319,0.5225,0.309,0.301
41.04,28.42,0.319,0.5225,0.309,0.301
41.04,28.45,0.319,0.5225,0.309,0.298
41.04,28.48,0.319,0.5225,0.309,0.298
41.04,28.51,0.319,0.5225,0.309,0.298
41.04,28.54,0.319,0.5225,0.309,0.298
41.04,28.6,0.319,0.5225,0.309,0.298
41.04,28.63,0.319,0.5225,0.309,0.298
41.04,28.66,0.319,0.5225,0.309,0.298
41.04,28.69,0.319,0.5225,0.309,0.298
41.04,28.72,0.319,0.5225,0.309,0.298
41.04,28.75,0.319,0.5225,0.309,0.298
41.04,28.78,0.319,0.5225,0.309,0.298
41.04,28.81,0.319,0.5225,0.309,0.298
41.04,28.84,0.319,0.5225,0.309,0.298
41.04,28.87,0.319,0.5225,0.309,0.298
41.04,28.9,0.319,0.5225,0.309,0.298
41.04,28.93,0.319,0.5225,0.309,0.298
41.04,28.96,0.319,0.5225,0.309,0.298
41.04,28.99,0.319,0.5225,0.309,0.298
41.04,29.05,0.321,0.5275,0.353,0.298
41.04,29.08,0.321,0.5275,0.353,0.337
41.04,29.11,0.321,0.5275,0.353,0.337
41.04,29.14,0.321,0.5275,0.353,0.337
41.04,29.17,0.321,0.5275,0.353,0.337
41.04,29.2,0.321,0.5275,0.353,0.337
41.04,29.23,0.321,0.5275,0.353,0.337
41.04,29.26,0.321,0.5275,0.353,0.337
41.04,29.29,0.321,0.5275,0.353,0.337
41.04,29.32,0.321,0.5275,0.353,0.337
41.04,29.35,0.321,0.5275,0.353,0.337
41.04,29.38,0.321,0.5275,0.353,0.337
41.04,29.41,0.321,0.5275,0.353,0.337
41.04,29.44,0.321,0.5275,0.353,0.337
41.04,29.47,0.321,0.5275,0.353,0.337
41.04,29.5,0.321,0.5275,0.353,0.337
41.04,29.53,0.321,0.5275,0.353,0.337
41.04,29.56,0.321,0.5275,0.353,0.337
41.04,29.59,0.321,0.5275,0.353,0.337
41.04,29.62,0.321,0.5275,0.353,0.337
41.04,29.65,0.321,0.5275,0.353,0.337
41.04,29.68,0.321,0.5275,0.353,0.337
41.04,29.71,0.321,0.5275,0.353,0.418
41.04,29.74,0.321,0.5275,0.353,0.418
41.04,29.77,0.321,0.5275,0.353,0.418
41.04,29.8,0.321,0.5275,0.353,0.418
41.04,29.83,0.321,0.5275,0.353,0.418
41.04,29.86,0.321,0.5275,0.353,0.418
41.06,28.0,0.319,0.5225,0.309,0.301
41.06,28.03,0.319,0.5225,0.309,0.301
41.06,28.06,0.319,0.5225,0.309,0.301
41.06,28.09,0.319,0.5225,0.309,0.301
41.06,28.12,0.319,0.5225,0.309,0.301
41.06,28.3,0.319,0.5225,0.309,0.301
41.06,28.33,0.319,0.5225,0.309,0.301
41.06,28.36,0.319,0.5225,0.309,0.301
41.06,28.39,0.319,0.5225,0.309,0.301
41.06,28.42,0.319,0.5225,0.309,0.301
41.06,28.45,0.319,0.5225,0.309,0.298
41.06,28.48,0.319,0.5225,0.309,0.298
41.06,28.51,0.319,0.5225,0.309,0.298
41.06,28.54,0.319,0.5225,0.309,0.298
41.06,28.57,0.319,0.5225,0.309,0.298
41.06,28.6,0.319,0.5225,0.309,0.298
41.06,28.63,0.319,0.5225,0.309,0.298
41.06,28.66,0.319,0.5225,0.309,0.298
41.06,28.69,0.319,0.5225,0.309,0.298
41.06,28.72,0.319,0.5225,0.309,0.298
41.06,28.75,0.319,0.5225,0.309,0.298
41.06,28.78,0.319,0.5225,0.309,0.298
41.06,28.81,0.319,0.5225,0.309,0.298
41.06,28.84,0.319,0.5225,0.309,0.298
41.06,28.87,0.319,0.5225,0.309,0.298
41.06,28.9,0.319,0.5225,0.309,0.298
41.06,28.93,0.319,0.5225,0.309,0.298
41.06,28.96,0.319,0.5225,0.309,0.298
41.06,28.99,0.319,0.5225,0.309,0.298
41.06,29.02,0.321,0.5275,0.353,0.298
41.06,29.08,0.321,0.5275,0.353,0.337
41.06,29.11,0.321,0.5275,0.353,0.337
41.06,29.14,0.321,0.5275,0.353,0.337
41.06,29.17,0.321,0.5275,0.353,0.337
41.06,29.2,0.321,0.5275,0.353,0.337
41.06,29.23,0.321,0.5275,0.353,0.337
41.06,29.26,0.321,0.5275,0.353,0.337
41.06,29.29,0.321,0.5275,0.353,0.337
41.06,29.32,0.321,0.5275,0.353,0.337
41.06,29.35,0.321,0.5275,0.353,0.337
41.06,29.38,0.321,0.5275,0.353,0.337
