lat,lon,score_202001,score_202002,score_202003,score_202004,score_202005,score_202006,score_202007,score_202008,score_202009,score_202010,score_202011,score_202012,score_202101,score_202102,score_202103,score_202104,score_202105,score_202106,score_202107,score_202108,score_202109,score_202110,score_202111,score_202112,score_202201,score_202202,score_202203,score_202204,score_202205,score_202206,score_202207,score_202208,score_202209,score_202210,score_202211,score_202212,score_202301,score_202302,score_202303,score_202304,score_202305,score_202306,score_202307,score_202308,score_202309,score_202310,score_202311,score_202312,avg_score
37.0,39.0,0.38118,0.16102,0.35822,0.76136,0.79359,1.01967,0.7295,0.95648,0.8036,0.90408,0.54274,0.91238,0.59182,0.90674,0.64633,1.01721,0.98346,0.96454,0.97063,0.86883,1.04187,0.93254,0.85986,0.76404,0.1862,0.59439,0.26915,0.79101,0.65708,1.04654,0.97811,0.94286,0.88557,0.84789,0.30213,0.90646,0.80621,0.6164,0.41066,0.9667,1.03328,1.06643,0.98132,0.89643,0.92099,0.74419,0.71665,0.56397,0.77088
37.0,40.0,0.29994,0.12996,0.25117,0.72509,0.81357,1.05025,0.74249,0.92657,0.82141,0.94248,0.52953,0.85639,0.6218,0.89796,0.65232,1.08916,0.92278,0.97692,0.94367,0.92978,1.03973,0.91406,0.90057,0.72926,0.3003,0.69138,0.20116,0.78382,0.61529,1.01405,0.95049,0.93407,0.90613,0.78341,0.43137,0.92586,0.82667,0.65703,0.39129,1.00422,0.99517,1.01982,0.91952,0.88857,0.86866,0.74042,0.65844,0.50307,0.76494
38.0,28.0,0.78048,0.27797,0.80699,0.75407,0.46098,0.45574,1.03142,0.93339,0.7941,0.42046,1.02059,0.56197,0.23451,0.57378,0.21439,0.57063,0.77146,0.42558,0.96872,1.07521,0.81203,0.88234,0.73748,0.23099,0.48226,0.05857,0.4456,0.59409,0.83847,0.65903,1.00853,0.67662,0.86505,0.9216,0.68269,0.43508,0.44539,0.70038,0.63484,0.37543,0.19611,0.51452,0.94326,0.85012,0.69693,0.85274,0.29439,0.53917,0.63554
38.0,29.0,0.71792,0.24524,0.70586,0.78505,0.41594,0.46361,0.96822,0.87585,0.68642,0.51244,0.9879,0.6935,0.23591,0.67767,0.23643,0.4828,0.7585,0.30692,0.90464,1.05684,0.7376,0.90807,0.78986,0.33418,0.46009,0.16284,0.39476,0.61767,0.71359,0.51197,0.99135,0.57979,0.86519,0.8427,0.81363,0.61383,0.58305,0.69335,0.54406,0.28245,0.07445,0.40332,0.89434,0.78578,0.7043,0.89659,0.30936,0.55822,0.6205
38.0,30.0,0.54043,0.14859,0.5723,0.66074,0.37728,0.43264,0.96749,0.82936,0.71931,0.49684,0.84748,0.75091,0.13508,0.63631,0.28525,0.40358,0.69376,0.14336,0.84212,1.05546,0.6662,0.92523,0.83323,0.41129,0.36565,0.0954,0.23069,0.65059,0.54256,0.48508,0.9472,0.61327,0.85723,0.67341,0.95305,0.65852,0.69455,0.5974,0.50297,0.32668,0.00664,0.32615,0.9008,0.84922,0.71802,0.84966,0.45627,0.59921,0.58905
38.0,31.0,0.47692,0.17497,0.64027,0.71407,0.54526,0.53879,1.01087,0.84615,0.76327,0.59097,0.81914,0.81938,0.32244,0.65135,0.36557,0.47946,0.66797,0.15027,0.84324,1.00293,0.68877,0.97713,0.96003,0.60448,0.35521,0.19378,0.2025,0.75332,0.57322,0.51302,0.90817,0.66615,0.89084,0.56918,1.00568,0.69343,0.84067,0.40064,0.6346,0.52061,0.19111,0.40292,0.89783,0.94946,0.75537,0.8753,0.66654,0.7795,0.6436
38.0,32.0,0.36922,0.13822,0.60083,0.66767,0.68454,0.52405,0.99056,0.86677,0.74586,0.65862,0.81086,0.74089,0.35238,0.66736,0.32843,0.36991,0.6717,0.2435,0.89372,0.90701,0.69384,0.93181,0.93526,0.63935,0.1625,0.191,0.14542,0.77773,0.55692,0.53951,0.87866,0.73283,0.86034,0.58487,0.99053,0.49539,0.75696,0.35053,0.64294,0.60167,0.38286,0.4292,0.91432,0.99264,0.79023,0.87,0.68024,0.78957,0.63644
38.0,33.0,0.41146,0.1738,0.79231,0.9404,0.91807,0.73333,1.01058,0.9416,0.79613,0.7834,0.86612,0.92166,0.4815,0.78089,0.50711,0.49657,0.79114,0.55544,0.98056,0.86209,0.75707,0.96628,0.97174,0.8086,0.44603,0.23195,0.39337,0.83474,0.77371,0.74851,0.92418,0.79771,0.88512,0.77429,1.0029,0.70632,0.80397,0.6587,0.72227,0.90266,0.68012,0.60305,0.90404,0.95281,0.8736,0.85772,0.79107,0.93588,0.75943
38.0,34.0,0.23332,0.09504,0.39784,0.72524,0.76887,0.6121,1.06061,1.04297,0.93402,0.88461,0.87483,0.89607,0.45292,0.72112,0.29235,0.33968,0.70916,0.50404,1.01306,0.79414,0.71643,1.00791,0.78814,0.70276,0.37913,0.45206,0.11167,0.64669,0.37508,0.64504,0.95849,0.94994,0.90794,0.82629,0.81794,0.60857,0.96732,0.31926,0.56379,0.7538,0.6269,0.36415,0.95019,1.07217,0.97773,0.86746,0.79974,0.90477,0.69611
38.0,35.0,0.17681,0.56467,0.19065,0.59695,0.62731,0.59106,1.0424,1.05962,0.96848,0.98176,0.86373,0.88048,0.47492,0.80446,0.27853,0.22103,0.63985,0.52802,1.00809,0.74202,0.75395,0.99102,0.74865,0.69236,0.42472,0.4068,0.26881,0.5811,0.2459,0.62321,0.98596,1.00534,0.89147,0.85033,0.72183,0.52084,1.00047,0.80812,0.48429,0.55688,0.68408,0.35518,0.95419,1.06971,1.02277,0.80049,0.82499,0.79287,0.6939
