lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN_norm,CLOUD_AMT_norm,PRECTOTCORR_norm
40.98,29.08,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.11,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.14,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.17,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.2,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.23,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.26,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.29,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.32,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.35,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.38,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.41,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.44,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.47,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.62,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.65,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
40.98,29.68,15.095,0.535,50.71,1.86,0.0331,0.0285,0.0337
41.0,28.51,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.54,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.6,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.63,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.66,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.69,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.72,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.75,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.78,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.81,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.84,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.87,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.9,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.93,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,28.96,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.0,29.02,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.0,29.05,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.0,29.08,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.11,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.14,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.17,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.2,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.23,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.26,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.29,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.32,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.35,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.38,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.41,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.44,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.47,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.5,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.62,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.65,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.68,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.0,29.71,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.02,28.48,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.51,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.54,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.6,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.63,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.66,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.69,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.72,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.75,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.78,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.81,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.84,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.87,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.9,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.93,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,28.96,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.02,29.02,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.02,29.05,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
