lat,lon,date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
40.82,29.29,202001,6.27,0.42,63.9,3.04
40.82,29.29,202002,9.44,0.46,66.44,2.44
40.82,29.29,202003,12.36,0.45,63.48,1.59
40.82,29.29,202004,19.28,0.55,50.71,1.15
40.82,29.29,202005,21.14,0.53,58.32,2.3
40.82,29.29,202006,24.49,0.59,43.66,2.36
40.82,29.29,202007,25.85,0.64,27.76,0.33
40.82,29.29,202008,24.64,0.68,17.27,0.2
40.82,29.29,202009,16.97,0.57,36.76,0.48
40.82,29.29,202010,12.03,0.53,44.52,2.47
40.82,29.29,202011,8.39,0.51,43.86,1.33
40.82,29.29,202012,5.53,0.41,64.01,1.12
40.82,29.29,202013,15.53,0.55,48.39,1.57
40.82,29.29,202101,5.67,0.38,75.45,5.02
40.82,29.29,202102,9.54,0.47,59.64,2.15
40.82,29.29,202103,11.64,0.42,67.44,2.78
40.82,29.29,202104,16.36,0.47,67.86,1.76
40.82,29.29,202105,23.65,0.6,48.02,1.47
40.82,29.29,202106,22.87,0.55,42.64,2.12
40.82,29.29,202107,25.04,0.62,27.66,1.16
40.82,29.29,202108,23.97,0.66,18.23,0.59
40.82,29.29,202109,16.81,0.56,45.05,1.17
40.82,29.29,202110,11.72,0.52,46.52,1.37
40.82,29.29,202111,8.02,0.49,52.08,2.11
40.82,29.29,202112,5.63,0.42,68.42,2.88
40.82,29.29,202113,15.08,0.54,51.58,2.05
40.82,29.29,202201,6.26,0.42,69.01,2.27
40.82,29.29,202202,8.75,0.43,63.3,3.89
40.82,29.29,202203,10.8,0.39,76.58,1.75
40.82,29.29,202204,17.99,0.52,50.91,1.62
40.82,29.29,202205,25.3,0.64,37.67,0.64
40.82,29.29,202206,22.51,0.54,49.94,2.24
40.82,29.29,202207,27.55,0.68,17.12,1.2
40.82,29.29,202208,21.54,0.59,32.18,1.96
40.82,29.29,202209,17.37,0.58,29.94,1.06
40.82,29.29,202210,11.21,0.5,44.0,1.31
40.82,29.29,202211,8.07,0.49,55.25,1.04
40.82,29.29,202212,5.86,0.44,61.46,1.34
40.82,29.29,202213,15.27,0.54,48.95,1.69
40.82,29.29,202301,6.73,0.45,56.98,0.72
40.82,29.29,202302,8.7,0.43,66.77,2.53
40.82,29.29,202303,10.69,0.39,72.05,2.88
40.82,29.29,202304,15.35,0.44,75.0,3.03
40.82,29.29,202305,17.06,0.43,74.09,1.35
40.82,29.29,202306,23.35,0.56,47.38,1.56
40.82,29.29,202307,26.73,0.66,18.66,0.79
40.82,29.29,202308,22.12,0.61,31.2,0.51
40.82,29.29,202309,18.22,0.61,35.25,0.89
40.82,29.29,202310,12.45,0.55,41.71,1.83
40.82,29.29,202311,6.56,0.4,66.79,6.97
40.82,29.29,202312,6.1,0.45,61.16,2.45
40.82,29.29,202313,14.5,0.51,53.92,2.13
40.82,29.32,202001,6.27,0.42,63.9,3.04
40.82,29.32,202002,9.44,0.46,66.44,2.44
40.82,29.32,202003,12.36,0.45,63.48,1.59
40.82,29.32,202004,19.28,0.55,50.71,1.15
40.82,29.32,202005,21.14,0.53,58.32,2.3
40.82,29.32,202006,24.49,0.59,43.66,2.36
40.82,29.32,202007,25.85,0.64,27.76,0.33
40.82,29.32,202008,24.64,0.68,17.27,0.2
40.82,29.32,202009,16.97,0.57,36.76,0.48
40.82,29.32,202010,12.03,0.53,44.52,2.47
40.82,29.32,202011,8.39,0.51,43.86,1.33
40.82,29.32,202012,5.53,0.41,64.01,1.12
40.82,29.32,202013,15.53,0.55,48.39,1.57
40.82,29.32,202101,5.67,0.38,75.45,5.02
40.82,29.32,202102,9.54,0.47,59.64,2.15
40.82,29.32,202103,11.64,0.42,67.44,2.78
40.82,29.32,202104,16.36,0.47,67.86,1.76
40.82,29.32,202105,23.65,0.6,48.02,1.47
40.82,29.32,202106,22.87,0.55,42.64,2.12
40.82,29.32,202107,25.04,0.62,27.66,1.16
40.82,29.32,202108,23.97,0.66,18.23,0.59
40.82,29.32,202109,16.81,0.56,45.05,1.17
40.82,29.32,202110,11.72,0.52,46.52,1.37
40.82,29.32,202111,8.02,0.49,52.08,2.11
40.82,29.32,202112,5.63,0.42,68.42,2.88
40.82,29.32,202113,15.08,0.54,51.58,2.05
40.82,29.32,202201,6.26,0.42,69.01,2.27
40.82,29.32,202202,8.75,0.43,63.3,3.89
40.82,29.32,202203,10.8,0.39,76.58,1.75
40.82,29.32,202204,17.99,0.52,50.91,1.62
40.82,29.32,202205,25.3,0.64,37.67,0.64
40.82,29.32,202206,22.51,0.54,49.94,2.24
40.82,29.32,202207,27.55,0.68,17.12,1.2
40.82,29.32,202208,21.54,0.59,32.18,1.96
40.82,29.32,202209,17.37,0.58,29.94,1.06
40.82,29.32,202210,11.21,0.5,44.0,1.31
40.82,29.32,202211,8.07,0.49,55.25,1.04
40.82,29.32,202212,5.86,0.44,61.46,1.34
40.82,29.32,202213,15.27,0.54,48.95,1.69
40.82,29.32,202301,6.73,0.45,56.98,0.72
40.82,29.32,202302,8.7,0.43,66.77,2.53
40.82,29.32,202303,10.69,0.39,72.05,2.88
40.82,29.32,202304,15.35,0.44,75.0,3.03
40.82,29.32,202305,17.06,0.43,74.09,1.35
40.82,29.32,202306,23.35,0.56,47.38,1.56
40.82,29.32,202307,26.73,0.66,18.66,0.79
40.82,29.32,202308,22.12,0.61,31.2,0.51
40.82,29.32,202309,18.22,0.61,35.25,0.89
40.82,29.32,202310,12.45,0.55,41.71,1.83
40.82,29.32,202311,6.56,0.4,66.79,6.97
40.82,29.32,202312,6.1,0.45,61.16,2.45
40.82,29.32,202313,14.5,0.51,53.92,2.13
40.84,29.29,202001,6.27,0.42,63.9,3.04
40.84,29.29,202002,9.44,0.46,66.44,2.44
40.84,29.29,202003,12.36,0.45,63.48,1.59
40.84,29.29,202004,19.28,0.55,50.71,1.15
40.84,29.29,202005,21.14,0.53,58.32,2.3
40.84,29.29,202006,24.49,0.59,43.66,2.36
40.84,29.29,202007,25.85,0.64,27.76,0.33
40.84,29.29,202008,24.64,0.68,17.27,0.2
40.84,29.29,202009,16.97,0.57,36.76,0.48
40.84,29.29,202010,12.03,0.53,44.52,2.47
40.84,29.29,202011,8.39,0.51,43.86,1.33
40.84,29.29,202012,5.53,0.41,64.01,1.12
40.84,29.29,202013,15.53,0.55,48.39,1.57
40.84,29.29,202101,5.67,0.38,75.45,5.02
40.84,29.29,202102,9.54,0.47,59.64,2.15
40.84,29.29,202103,11.64,0.42,67.44,2.78
40.84,29.29,202104,16.36,0.47,67.86,1.76
40.84,29.29,202105,23.65,0.6,48.02,1.47
40.84,29.29,202106,22.87,0.55,42.64,2.12
40.84,29.29,202107,25.04,0.62,27.66,1.16
40.84,29.29,202108,23.97,0.66,18.23,0.59
40.84,29.29,202109,16.81,0.56,45.05,1.17
40.84,29.29,202110,11.72,0.52,46.52,1.37
40.84,29.29,202111,8.02,0.49,52.08,2.11
40.84,29.29,202112,5.63,0.42,68.42,2.88
40.84,29.29,202113,15.08,0.54,51.58,2.05
40.84,29.29,202201,6.26,0.42,69.01,2.27
40.84,29.29,202202,8.75,0.43,63.3,3.89
40.84,29.29,202203,10.8,0.39,76.58,1.75
40.84,29.29,202204,17.99,0.52,50.91,1.62
40.84,29.29,202205,25.3,0.64,37.67,0.64
40.84,29.29,202206,22.51,0.54,49.94,2.24
40.84,29.29,202207,27.55,0.68,17.12,1.2
40.84,29.29,202208,21.54,0.59,32.18,1.96
40.84,29.29,202209,17.37,0.58,29.94,1.06
40.84,29.29,202210,11.21,0.5,44.0,1.31
40.84,29.29,202211,8.07,0.49,55.25,1.04
40.84,29.29,202212,5.86,0.44,61.46,1.34
40.84,29.29,202213,15.27,0.54,48.95,1.69
40.84,29.29,202301,6.73,0.45,56.98,0.72
40.84,29.29,202302,8.7,0.43,66.77,2.53
40.84,29.29,202303,10.69,0.39,72.05,2.88
40.84,29.29,202304,15.35,0.44,75.0,3.03
40.84,29.29,202305,17.06,0.43,74.09,1.35
40.84,29.29,202306,23.35,0.56,47.38,1.56
40.84,29.29,202307,26.73,0.66,18.66,0.79
40.84,29.29,202308,22.12,0.61,31.2,0.51
40.84,29.29,202309,18.22,0.61,35.25,0.89
40.84,29.29,202310,12.45,0.55,41.71,1.83
40.84,29.29,202311,6.56,0.4,66.79,6.97
40.84,29.29,202312,6.1,0.45,61.16,2.45
40.84,29.29,202313,14.5,0.51,53.92,2.13
40.84,29.32,202001,6.27,0.42,63.9,3.04
40.84,29.32,202002,9.44,0.46,66.44,2.44
40.84,29.32,202003,12.36,0.45,63.48,1.59
40.84,29.32,202004,19.28,0.55,50.71,1.15
40.84,29.32,202005,21.14,0.53,58.32,2.3
40.84,29.32,202006,24.49,0.59,43.66,2.36
40.84,29.32,202007,25.85,0.64,27.76,0.33
40.84,29.32,202008,24.64,0.68,17.27,0.2
40.84,29.32,202009,16.97,0.57,36.76,0.48
40.84,29.32,202010,12.03,0.53,44.52,2.47
40.84,29.32,202011,8.39,0.51,43.86,1.33
40.84,29.32,202012,5.53,0.41,64.01,1.12
40.84,29.32,202013,15.53,0.55,48.39,1.57
40.84,29.32,202101,5.67,0.38,75.45,5.02
40.84,29.32,202102,9.54,0.47,59.64,2.15
40.84,29.32,202103,11.64,0.42,67.44,2.78
40.84,29.32,202104,16.36,0.47,67.86,1.76
40.84,29.32,202105,23.65,0.6,48.02,1.47
40.84,29.32,202106,22.87,0.55,42.64,2.12
40.84,29.32,202107,25.04,0.62,27.66,1.16
40.84,29.32,202108,23.97,0.66,18.23,0.59
40.84,29.32,202109,16.81,0.56,45.05,1.17
40.84,29.32,202110,11.72,0.52,46.52,1.37
40.84,29.32,202111,8.02,0.49,52.08,2.11
40.84,29.32,202112,5.63,0.42,68.42,2.88
40.84,29.32,202113,15.08,0.54,51.58,2.05
40.84,29.32,202201,6.26,0.42,69.01,2.27
40.84,29.32,202202,8.75,0.43,63.3,3.89
40.84,29.32,202203,10.8,0.39,76.58,1.75
40.84,29.32,202204,17.99,0.52,50.91,1.62
40.84,29.32,202205,25.3,0.64,37.67,0.64
40.84,29.32,202206,22.51,0.54,49.94,2.24
40.84,29.32,202207,27.55,0.68,17.12,1.2
40.84,29.32,202208,21.54,0.59,32.18,1.96
40.84,29.32,202209,17.37,0.58,29.94,1.06
40.84,29.32,202210,11.21,0.5,44.0,1.31
40.84,29.32,202211,8.07,0.49,55.25,1.04
40.84,29.32,202212,5.86,0.44,61.46,1.34
40.84,29.32,202213,15.27,0.54,48.95,1.69
40.84,29.32,202301,6.73,0.45,56.98,0.72
40.84,29.32,202302,8.7,0.43,66.77,2.53
40.84,29.32,202303,10.69,0.39,72.05,2.88
40.84,29.32,202304,15.35,0.44,75.0,3.03
40.84,29.32,202305,17.06,0.43,74.09,1.35
40.84,29.32,202306,23.35,0.56,47.38,1.56
40.84,29.32,202307,26.73,0.66,18.66,0.79
40.84,29.32,202308,22.12,0.61,31.2,0.51
40.84,29.32,202309,18.22,0.61,35.25,0.89
40.84,29.32,202310,12.45,0.55,41.71,1.83
40.84,29.32,202311,6.56,0.4,66.79,6.97
40.84,29.32,202312,6.1,0.45,61.16,2.45
40.84,29.32,202313,14.5,0.51,53.92,2.13
40.84,29.35,202001,6.27,0.42,63.9,3.04
40.84,29.35,202002,9.44,0.46,66.44,2.44
40.84,29.35,202003,12.36,0.45,63.48,1.59
40.84,29.35,202004,19.28,0.55,50.71,1.15
40.84,29.35,202005,21.14,0.53,58.32,2.3
40.84,29.35,202006,24.49,0.59,43.66,2.36
40.84,29.35,202007,25.85,0.64,27.76,0.33
40.84,29.35,202008,24.64,0.68,17.27,0.2
40.84,29.35,202009,16.97,0.57,36.76,0.48
40.84,29.35,202010,12.03,0.53,44.52,2.47
40.84,29.35,202011,8.39,0.51,43.86,1.33
40.84,29.35,202012,5.53,0.41,64.01,1.12
40.84,29.35,202013,15.53,0.55,48.39,1.57
40.84,29.35,202101,5.67,0.38,75.45,5.02
40.84,29.35,202102,9.54,0.47,59.64,2.15
40.84,29.35,202103,11.64,0.42,67.44,2.78
40.84,29.35,202104,16.36,0.47,67.86,1.76
40.84,29.35,202105,23.65,0.6,48.02,1.47
40.84,29.35,202106,22.87,0.55,42.64,2.12
40.84,29.35,202107,25.04,0.62,27.66,1.16
40.84,29.35,202108,23.97,0.66,18.23,0.59
40.84,29.35,202109,16.81,0.56,45.05,1.17
40.84,29.35,202110,11.72,0.52,46.52,1.37
40.84,29.35,202111,8.02,0.49,52.08,2.11
40.84,29.35,202112,5.63,0.42,68.42,2.88
40.84,29.35,202113,15.08,0.54,51.58,2.05
40.84,29.35,202201,6.26,0.42,69.01,2.27
40.84,29.35,202202,8.75,0.43,63.3,3.89
40.84,29.35,202203,10.8,0.39,76.58,1.75
40.84,29.35,202204,17.99,0.52,50.91,1.62
40.84,29.35,202205,25.3,0.64,37.67,0.64
40.84,29.35,202206,22.51,0.54,49.94,2.24
40.84,29.35,202207,27.55,0.68,17.12,1.2
40.84,29.35,202208,21.54,0.59,32.18,1.96
40.84,29.35,202209,17.37,0.58,29.94,1.06
40.84,29.35,202210,11.21,0.5,44.0,1.31
40.84,29.35,202211,8.07,0.49,55.25,1.04
40.84,29.35,202212,5.86,0.44,61.46,1.34
40.84,29.35,202213,15.27,0.54,48.95,1.69
40.84,29.35,202301,6.73,0.45,56.98,0.72
40.84,29.35,202302,8.7,0.43,66.77,2.53
40.84,29.35,202303,10.69,0.39,72.05,2.88
40.84,29.35,202304,15.35,0.44,75.0,3.03
40.84,29.35,202305,17.06,0.43,74.09,1.35
40.84,29.35,202306,23.35,0.56,47.38,1.56
40.84,29.35,202307,26.73,0.66,18.66,0.79
40.84,29.35,202308,22.12,0.61,31.2,0.51
40.84,29.35,202309,18.22,0.61,35.25,0.89
40.84,29.35,202310,12.45,0.55,41.71,1.83
40.84,29.35,202311,6.56,0.4,66.79,6.97
40.84,29.35,202312,6.1,0.45,61.16,2.45
40.84,29.35,202313,14.5,0.51,53.92,2.13
40.86,29.26,202001,6.27,0.42,63.9,3.04
40.86,29.26,202002,9.44,0.46,66.44,2.44
40.86,29.26,202003,12.36,0.45,63.48,1.59
40.86,29.26,202004,19.28,0.55,50.71,1.15
40.86,29.26,202005,21.14,0.53,58.32,2.3
40.86,29.26,202006,24.49,0.59,43.66,2.36
40.86,29.26,202007,25.85,0.64,27.76,0.33
40.86,29.26,202008,24.64,0.68,17.27,0.2
40.86,29.26,202009,16.97,0.57,36.76,0.48
40.86,29.26,202010,12.03,0.53,44.52,2.47
40.86,29.26,202011,8.39,0.51,43.86,1.33
40.86,29.26,202012,5.53,0.41,64.01,1.12
40.86,29.26,202013,15.53,0.55,48.39,1.57
40.86,29.26,202101,5.67,0.38,75.45,5.02
40.86,29.26,202102,9.54,0.47,59.64,2.15
40.86,29.26,202103,11.64,0.42,67.44,2.78
40.86,29.26,202104,16.36,0.47,67.86,1.76
40.86,29.26,202105,23.65,0.6,48.02,1.47
40.86,29.26,202106,22.87,0.55,42.64,2.12
40.86,29.26,202107,25.04,0.62,27.66,1.16
40.86,29.26,202108,23.97,0.66,18.23,0.59
40.86,29.26,202109,16.81,0.56,45.05,1.17
40.86,29.26,202110,11.72,0.52,46.52,1.37
40.86,29.26,202111,8.02,0.49,52.08,2.11
40.86,29.26,202112,5.63,0.42,68.42,2.88
40.86,29.26,202113,15.08,0.54,51.58,2.05
40.86,29.26,202201,6.26,0.42,69.01,2.27
40.86,29.26,202202,8.75,0.43,63.3,3.89
40.86,29.26,202203,10.8,0.39,76.58,1.75
40.86,29.26,202204,17.99,0.52,50.91,1.62
40.86,29.26,202205,25.3,0.64,37.67,0.64
40.86,29.26,202206,22.51,0.54,49.94,2.24
40.86,29.26,202207,27.55,0.68,17.12,1.2
40.86,29.26,202208,21.54,0.59,32.18,1.96
40.86,29.26,202209,17.37,0.58,29.94,1.06
40.86,29.26,202210,11.21,0.5,44.0,1.31
40.86,29.26,202211,8.07,0.49,55.25,1.04
40.86,29.26,202212,5.86,0.44,61.46,1.34
40.86,29.26,202213,15.27,0.54,48.95,1.69
40.86,29.26,202301,6.73,0.45,56.98,0.72
40.86,29.26,202302,8.7,0.43,66.77,2.53
40.86,29.26,202303,10.69,0.39,72.05,2.88
40.86,29.26,202304,15.35,0.44,75.0,3.03
40.86,29.26,202305,17.06,0.43,74.09,1.35
40.86,29.26,202306,23.35,0.56,47.38,1.56
40.86,29.26,202307,26.73,0.66,18.66,0.79
40.86,29.26,202308,22.12,0.61,31.2,0.51
40.86,29.26,202309,18.22,0.61,35.25,0.89
40.86,29.26,202310,12.45,0.55,41.71,1.83
40.86,29.26,202311,6.56,0.4,66.79,6.97
40.86,29.26,202312,6.1,0.45,61.16,2.45
40.86,29.26,202313,14.5,0.51,53.92,2.13
40.86,29.29,202001,6.27,0.42,63.9,3.04
40.86,29.29,202002,9.44,0.46,66.44,2.44
40.86,29.29,202003,12.36,0.45,63.48,1.59
40.86,29.29,202004,19.28,0.55,50.71,1.15
40.86,29.29,202005,21.14,0.53,58.32,2.3
40.86,29.29,202006,24.49,0.59,43.66,2.36
40.86,29.29,202007,25.85,0.64,27.76,0.33
40.86,29.29,202008,24.64,0.68,17.27,0.2
40.86,29.29,202009,16.97,0.57,36.76,0.48
40.86,29.29,202010,12.03,0.53,44.52,2.47
40.86,29.29,202011,8.39,0.51,43.86,1.33
40.86,29.29,202012,5.53,0.41,64.01,1.12
40.86,29.29,202013,15.53,0.55,48.39,1.57
40.86,29.29,202101,5.67,0.38,75.45,5.02
40.86,29.29,202102,9.54,0.47,59.64,2.15
40.86,29.29,202103,11.64,0.42,67.44,2.78
40.86,29.29,202104,16.36,0.47,67.86,1.76
40.86,29.29,202105,23.65,0.6,48.02,1.47
40.86,29.29,202106,22.87,0.55,42.64,2.12
40.86,29.29,202107,25.04,0.62,27.66,1.16
40.86,29.29,202108,23.97,0.66,18.23,0.59
40.86,29.29,202109,16.81,0.56,45.05,1.17
40.86,29.29,202110,11.72,0.52,46.52,1.37
40.86,29.29,202111,8.02,0.49,52.08,2.11
40.86,29.29,202112,5.63,0.42,68.42,2.88
40.86,29.29,202113,15.08,0.54,51.58,2.05
40.86,29.29,202201,6.26,0.42,69.01,2.27
40.86,29.29,202202,8.75,0.43,63.3,3.89
40.86,29.29,202203,10.8,0.39,76.58,1.75
40.86,29.29,202204,17.99,0.52,50.91,1.62
40.86,29.29,202205,25.3,0.64,37.67,0.64
40.86,29.29,202206,22.51,0.54,49.94,2.24
40.86,29.29,202207,27.55,0.68,17.12,1.2
40.86,29.29,202208,21.54,0.59,32.18,1.96
40.86,29.29,202209,17.37,0.58,29.94,1.06
40.86,29.29,202210,11.21,0.5,44.0,1.31
40.86,29.29,202211,8.07,0.49,55.25,1.04
40.86,29.29,202212,5.86,0.44,61.46,1.34
40.86,29.29,202213,15.27,0.54,48.95,1.69
40.86,29.29,202301,6.73,0.45,56.98,0.72
40.86,29.29,202302,8.7,0.43,66.77,2.53
40.86,29.29,202303,10.69,0.39,72.05,2.88
40.86,29.29,202304,15.35,0.44,75.0,3.03
40.86,29.29,202305,17.06,0.43,74.09,1.35
40.86,29.29,202306,23.35,0.56,47.38,1.56
40.86,29.29,202307,26.73,0.66,18.66,0.79
40.86,29.29,202308,22.12,0.61,31.2,0.51
40.86,29.29,202309,18.22,0.61,35.25,0.89
40.86,29.29,202310,12.45,0.55,41.71,1.83
40.86,29.29,202311,6.56,0.4,66.79,6.97
40.86,29.29,202312,6.1,0.45,61.16,2.45
40.86,29.29,202313,14.5,0.51,53.92,2.13
40.86,29.32,202001,6.27,0.42,63.9,3.04
40.86,29.32,202002,9.44,0.46,66.44,2.44
40.86,29.32,202003,12.36,0.45,63.48,1.59
40.86,29.32,202004,19.28,0.55,50.71,1.15
40.86,29.32,202005,21.14,0.53,58.32,2.3
40.86,29.32,202006,24.49,0.59,43.66,2.36
40.86,29.32,202007,25.85,0.64,27.76,0.33
40.86,29.32,202008,24.64,0.68,17.27,0.2
40.86,29.32,202009,16.97,0.57,36.76,0.48
40.86,29.32,202010,12.03,0.53,44.52,2.47
40.86,29.32,202011,8.39,0.51,43.86,1.33
40.86,29.32,202012,5.53,0.41,64.01,1.12
40.86,29.32,202013,15.53,0.55,48.39,1.57
40.86,29.32,202101,5.67,0.38,75.45,5.02
40.86,29.32,202102,9.54,0.47,59.64,2.15
40.86,29.32,202103,11.64,0.42,67.44,2.78
40.86,29.32,202104,16.36,0.47,67.86,1.76
40.86,29.32,202105,23.65,0.6,48.02,1.47
40.86,29.32,202106,22.87,0.55,42.64,2.12
40.86,29.32,202107,25.04,0.62,27.66,1.16
40.86,29.32,202108,23.97,0.66,18.23,0.59
40.86,29.32,202109,16.81,0.56,45.05,1.17
40.86,29.32,202110,11.72,0.52,46.52,1.37
40.86,29.32,202111,8.02,0.49,52.08,2.11
40.86,29.32,202112,5.63,0.42,68.42,2.88
40.86,29.32,202113,15.08,0.54,51.58,2.05
40.86,29.32,202201,6.26,0.42,69.01,2.27
40.86,29.32,202202,8.75,0.43,63.3,3.89
40.86,29.32,202203,10.8,0.39,76.58,1.75
40.86,29.32,202204,17.99,0.52,50.91,1.62
40.86,29.32,202205,25.3,0.64,37.67,0.64
40.86,29.32,202206,22.51,0.54,49.94,2.24
40.86,29.32,202207,27.55,0.68,17.12,1.2
40.86,29.32,202208,21.54,0.59,32.18,1.96
40.86,29.32,202209,17.37,0.58,29.94,1.06
40.86,29.32,202210,11.21,0.5,44.0,1.31
40.86,29.32,202211,8.07,0.49,55.25,1.04
40.86,29.32,202212,5.86,0.44,61.46,1.34
40.86,29.32,202213,15.27,0.54,48.95,1.69
40.86,29.32,202301,6.73,0.45,56.98,0.72
40.86,29.32,202302,8.7,0.43,66.77,2.53
40.86,29.32,202303,10.69,0.39,72.05,2.88
40.86,29.32,202304,15.35,0.44,75.0,3.03
40.86,29.32,202305,17.06,0.43,74.09,1.35
40.86,29.32,202306,23.35,0.56,47.38,1.56
40.86,29.32,202307,26.73,0.66,18.66,0.79
40.86,29.32,202308,22.12,0.61,31.2,0.51
40.86,29.32,202309,18.22,0.61,35.25,0.89
40.86,29.32,202310,12.45,0.55,41.71,1.83
40.86,29.32,202311,6.56,0.4,66.79,6.97
40.86,29.32,202312,6.1,0.45,61.16,2.45
40.86,29.32,202313,14.5,0.51,53.92,2.13
40.86,29.35,202001,6.27,0.42,63.9,3.04
40.86,29.35,202002,9.44,0.46,66.44,2.44
40.86,29.35,202003,12.36,0.45,63.48,1.59
40.86,29.35,202004,19.28,0.55,50.71,1.15
40.86,29.35,202005,21.14,0.53,58.32,2.3
40.86,29.35,202006,24.49,0.59,43.66,2.36
40.86,29.35,202007,25.85,0.64,27.76,0.33
40.86,29.35,202008,24.64,0.68,17.27,0.2
40.86,29.35,202009,16.97,0.57,36.76,0.48
40.86,29.35,202010,12.03,0.53,44.52,2.47
40.86,29.35,202011,8.39,0.51,43.86,1.33
40.86,29.35,202012,5.53,0.41,64.01,1.12
40.86,29.35,202013,15.53,0.55,48.39,1.57
40.86,29.35,202101,5.67,0.38,75.45,5.02
40.86,29.35,202102,9.54,0.47,59.64,2.15
40.86,29.35,202103,11.64,0.42,67.44,2.78
40.86,29.35,202104,16.36,0.47,67.86,1.76
40.86,29.35,202105,23.65,0.6,48.02,1.47
40.86,29.35,202106,22.87,0.55,42.64,2.12
40.86,29.35,202107,25.04,0.62,27.66,1.16
40.86,29.35,202108,23.97,0.66,18.23,0.59
40.86,29.35,202109,16.81,0.56,45.05,1.17
40.86,29.35,202110,11.72,0.52,46.52,1.37
40.86,29.35,202111,8.02,0.49,52.08,2.11
40.86,29.35,202112,5.63,0.42,68.42,2.88
40.86,29.35,202113,15.08,0.54,51.58,2.05
40.86,29.35,202201,6.26,0.42,69.01,2.27
40.86,29.35,202202,8.75,0.43,63.3,3.89
40.86,29.35,202203,10.8,0.39,76.58,1.75
40.86,29.35,202204,17.99,0.52,50.91,1.62
40.86,29.35,202205,25.3,0.64,37.67,0.64
40.86,29.35,202206,22.51,0.54,49.94,2.24
40.86,29.35,202207,27.55,0.68,17.12,1.2
40.86,29.35,202208,21.54,0.59,32.18,1.96
40.86,29.35,202209,17.37,0.58,29.94,1.06
40.86,29.35,202210,11.21,0.5,44.0,1.31
40.86,29.35,202211,8.07,0.49,55.25,1.04
40.86,29.35,202212,5.86,0.44,61.46,1.34
40.86,29.35,202213,15.27,0.54,48.95,1.69
40.86,29.35,202301,6.73,0.45,56.98,0.72
40.86,29.35,202302,8.7,0.43,66.77,2.53
40.86,29.35,202303,10.69,0.39,72.05,2.88
40.86,29.35,202304,15.35,0.44,75.0,3.03
40.86,29.35,202305,17.06,0.43,74.09,1.35
40.86,29.35,202306,23.35,0.56,47.38,1.56
40.86,29.35,202307,26.73,0.66,18.66,0.79
40.86,29.35,202308,22.12,0.61,31.2,0.51
40.86,29.35,202309,18.22,0.61,35.25,0.89
40.86,29.35,202310,12.45,0.55,41.71,1.83
40.86,29.35,202311,6.56,0.4,66.79,6.97
40.86,29.35,202312,6.1,0.45,61.16,2.45
40.86,29.35,202313,14.5,0.51,53.92,2.13
40.88,29.2,202001,6.27,0.42,63.9,3.04
40.88,29.2,202002,9.44,0.46,66.44,2.44
40.88,29.2,202003,12.36,0.45,63.48,1.59
40.88,29.2,202004,19.28,0.55,50.71,1.15
40.88,29.2,202005,21.14,0.53,58.32,2.3
40.88,29.2,202006,24.49,0.59,43.66,2.36
40.88,29.2,202007,25.85,0.64,27.76,0.33
40.88,29.2,202008,24.64,0.68,17.27,0.2
40.88,29.2,202009,16.97,0.57,36.76,0.48
40.88,29.2,202010,12.03,0.53,44.52,2.47
40.88,29.2,202011,8.39,0.51,43.86,1.33
40.88,29.2,202012,5.53,0.41,64.01,1.12
40.88,29.2,202013,15.53,0.55,48.39,1.57
40.88,29.2,202101,5.67,0.38,75.45,5.02
40.88,29.2,202102,9.54,0.47,59.64,2.15
40.88,29.2,202103,11.64,0.42,67.44,2.78
40.88,29.2,202104,16.36,0.47,67.86,1.76
40.88,29.2,202105,23.65,0.6,48.02,1.47
40.88,29.2,202106,22.87,0.55,42.64,2.12
40.88,29.2,202107,25.04,0.62,27.66,1.16
40.88,29.2,202108,23.97,0.66,18.23,0.59
40.88,29.2,202109,16.81,0.56,45.05,1.17
40.88,29.2,202110,11.72,0.52,46.52,1.37
40.88,29.2,202111,8.02,0.49,52.08,2.11
40.88,29.2,202112,5.63,0.42,68.42,2.88
