lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.18,28.54,14.54,0.5225,54.92,1.6425
41.18,28.57,14.54,0.5225,54.92,1.6425
41.18,28.6,14.54,0.5225,54.92,1.6425
41.18,28.63,14.54,0.5225,54.92,1.6425
41.18,28.66,14.54,0.5225,54.92,1.6425
41.18,28.69,14.54,0.5225,54.92,1.6425
41.18,28.72,14.54,0.5225,54.92,1.6425
41.18,28.75,14.54,0.5225,54.92,1.6425
41.18,28.78,14.54,0.5225,54.92,1.6425
41.18,28.81,14.54,0.5225,54.92,1.6425
41.18,28.84,14.54,0.5225,54.92,1.6425
41.18,28.87,14.54,0.5225,54.92,1.6425
41.18,28.9,14.54,0.5225,54.92,1.6425
41.18,28.93,14.54,0.5225,54.92,1.6425
41.18,28.96,14.54,0.5225,54.92,1.6425
41.18,28.99,14.54,0.5225,54.92,1.6425
41.18,29.02,14.62,0.5275,62.865,1.6425
41.18,29.05,14.62,0.5275,62.865,1.6425
41.18,29.11,14.62,0.5275,62.865,1.86
41.18,29.14,14.62,0.5275,62.865,1.86
41.18,29.17,14.62,0.5275,62.865,1.86
41.18,29.2,14.62,0.5275,62.865,1.86
41.18,29.23,14.62,0.5275,62.865,1.86
41.18,29.26,14.62,0.5275,62.865,1.86
41.18,29.29,14.62,0.5275,62.865,1.86
41.18,29.32,14.62,0.5275,62.865,1.86
41.18,29.35,14.62,0.5275,62.865,1.86
41.18,29.38,14.62,0.5275,62.865,1.86
41.18,29.41,14.62,0.5275,62.865,1.86
41.18,29.44,14.62,0.5275,62.865,1.86
41.18,29.47,14.62,0.5275,62.865,1.86
41.18,29.5,14.62,0.5275,62.865,1.86
41.2,28.03,14.54,0.5225,54.92,1.66
41.2,28.06,14.54,0.5225,54.92,1.66
41.2,28.09,14.54,0.5225,54.92,1.66
41.2,28.12,14.54,0.5225,54.92,1.66
41.2,28.15,14.54,0.5225,54.92,1.66
41.2,28.18,14.54,0.5225,54.92,1.66
41.2,28.21,14.54,0.5225,54.92,1.66
41.2,28.24,14.54,0.5225,54.92,1.66
41.2,28.27,14.54,0.5225,54.92,1.66
41.2,28.3,14.54,0.5225,54.92,1.66
41.2,28.33,14.54,0.5225,54.92,1.66
41.2,28.36,14.54,0.5225,54.92,1.66
41.2,28.39,14.54,0.5225,54.92,1.66
41.2,28.42,14.54,0.5225,54.92,1.66
41.2,28.45,14.54,0.5225,54.92,1.6425
41.2,28.48,14.54,0.5225,54.92,1.6425
41.2,28.51,14.54,0.5225,54.92,1.6425
41.2,28.54,14.54,0.5225,54.92,1.6425
41.2,28.57,14.54,0.5225,54.92,1.6425
41.2,28.6,14.54,0.5225,54.92,1.6425
41.2,28.63,14.54,0.5225,54.92,1.6425
41.2,28.66,14.54,0.5225,54.92,1.6425
41.2,28.69,14.54,0.5225,54.92,1.6425
41.2,28.72,14.54,0.5225,54.92,1.6425
41.2,28.75,14.54,0.5225,54.92,1.6425
41.2,28.78,14.54,0.5225,54.92,1.6425
41.2,28.81,14.54,0.5225,54.92,1.6425
41.2,28.84,14.54,0.5225,54.92,1.6425
41.2,28.87,14.54,0.5225,54.92,1.6425
41.2,28.9,14.54,0.5225,54.92,1.6425
41.2,28.93,14.54,0.5225,54.92,1.6425
41.2,28.96,14.54,0.5225,54.92,1.6425
41.2,28.99,14.54,0.5225,54.92,1.6425
41.2,29.02,14.62,0.5275,62.865,1.6425
41.2,29.05,14.62,0.5275,62.865,1.6425
41.2,29.08,14.62,0.5275,62.865,1.86
41.2,29.14,14.62,0.5275,62.865,1.86
41.2,29.17,14.62,0.5275,62.865,1.86
41.2,29.2,14.62,0.5275,62.865,1.86
41.2,29.23,14.62,0.5275,62.865,1.86
41.2,29.26,14.62,0.5275,62.865,1.86
41.2,29.29,14.62,0.5275,62.865,1.86
41.2,29.32,14.62,0.5275,62.865,1.86
41.2,29.35,14.62,0.5275,62.865,1.86
41.2,29.38,14.62,0.5275,62.865,1.86
41.2,29.41,14.62,0.5275,62.865,1.86
41.22,28.0,14.54,0.5225,54.92,1.66
41.22,28.03,14.54,0.5225,54.92,1.66
41.22,28.06,14.54,0.5225,54.92,1.66
41.22,28.09,14.54,0.5225,54.92,1.66
41.22,28.12,14.54,0.5225,54.92,1.66
41.22,28.15,14.54,0.5225,54.92,1.66
41.22,28.18,14.54,0.5225,54.92,1.66
41.22,28.21,14.54,0.5225,54.92,1.66
41.22,28.24,14.54,0.5225,54.92,1.66
41.22,28.27,14.54,0.5225,54.92,1.66
41.22,28.3,14.54,0.5225,54.92,1.66
41.22,28.33,14.54,0.5225,54.92,1.66
41.22,28.36,14.54,0.5225,54.92,1.66
41.22,28.39,14.54,0.5225,54.92,1.66
41.22,28.42,14.54,0.5225,54.92,1.66
41.22,28.45,14.54,0.5225,54.92,1.6425
41.22,28.48,14.54,0.5225,54.92,1.6425
41.22,28.51,14.54,0.5225,54.92,1.6425
41.22,28.54,14.54,0.5225,54.92,1.6425
41.22,28.57,14.54,0.5225,54.92,1.6425
41.22,28.6,14.54,0.5225,54.92,1.6425
41.22,28.63,14.54,0.5225,54.92,1.6425
