lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.28,28.6,14.54,0.5225,54.92,1.8825
41.28,28.63,14.54,0.5225,54.92,1.8825
41.28,28.66,14.54,0.5225,54.92,1.8825
41.28,28.69,14.54,0.5225,54.92,1.8825
41.28,28.72,14.54,0.5225,54.92,1.8825
41.28,28.75,14.54,0.5225,54.92,1.8825
41.28,28.78,14.54,0.5225,54.92,1.8825
41.28,28.81,14.54,0.5225,54.92,1.8825
41.28,28.84,14.54,0.5225,54.92,1.8825
41.3,28.09,14.54,0.5225,54.92,1.6875
41.3,28.12,14.54,0.5225,54.92,1.6875
41.3,28.15,14.54,0.5225,54.92,1.6875
41.3,28.18,14.54,0.5225,54.92,1.6875
41.3,28.21,14.54,0.5225,54.92,1.6875
41.3,28.24,14.54,0.5225,54.92,1.6875
41.3,28.27,14.54,0.5225,54.92,1.6875
41.3,28.3,14.54,0.5225,54.92,1.6875
41.3,28.33,14.54,0.5225,54.92,1.6875
41.3,28.36,14.54,0.5225,54.92,1.6875
41.3,28.39,14.54,0.5225,54.92,1.6875
41.3,28.42,14.54,0.5225,54.92,1.6875
41.3,28.45,14.54,0.5225,54.92,1.8825
41.3,28.48,14.54,0.5225,54.92,1.8825
41.3,28.51,14.54,0.5225,54.92,1.8825
41.3,28.54,14.54,0.5225,54.92,1.8825
41.3,28.57,14.54,0.5225,54.92,1.8825
41.3,28.6,14.54,0.5225,54.92,1.8825
41.3,28.63,14.54,0.5225,54.92,1.8825
41.3,28.66,14.54,0.5225,54.92,1.8825
41.3,28.69,14.54,0.5225,54.92,1.8825
41.3,28.72,14.54,0.5225,54.92,1.8825
41.3,28.75,14.54,0.5225,54.92,1.8825
41.3,28.78,14.54,0.5225,54.92,1.8825
41.32,28.09,14.54,0.5225,54.92,1.6875
41.32,28.12,14.54,0.5225,54.92,1.6875
41.32,28.15,14.54,0.5225,54.92,1.6875
41.32,28.18,14.54,0.5225,54.92,1.6875
41.32,28.21,14.54,0.5225,54.92,1.6875
41.32,28.24,14.54,0.5225,54.92,1.6875
41.32,28.27,14.54,0.5225,54.92,1.6875
41.32,28.3,14.54,0.5225,54.92,1.6875
41.32,28.33,14.54,0.5225,54.92,1.6875
41.32,28.36,14.54,0.5225,54.92,1.6875
41.32,28.39,14.54,0.5225,54.92,1.6875
41.32,28.42,14.54,0.5225,54.92,1.6875
41.32,28.45,14.54,0.5225,54.92,1.8825
41.32,28.48,14.54,0.5225,54.92,1.8825
41.32,28.51,14.54,0.5225,54.92,1.8825
41.32,28.54,14.54,0.5225,54.92,1.8825
41.32,28.57,14.54,0.5225,54.92,1.8825
41.32,28.6,14.54,0.5225,54.92,1.8825
41.32,28.63,14.54,0.5225,54.92,1.8825
41.32,28.66,14.54,0.5225,54.92,1.8825
41.32,28.69,14.54,0.5225,54.92,1.8825
41.32,28.72,14.54,0.5225,54.92,1.8825
41.34,28.09,14.54,0.5225,54.92,1.6875
41.34,28.12,14.54,0.5225,54.92,1.6875
41.34,28.15,14.54,0.5225,54.92,1.6875
41.34,28.18,14.54,0.5225,54.92,1.6875
41.34,28.21,14.54,0.5225,54.92,1.6875
41.34,28.24,14.54,0.5225,54.92,1.6875
41.34,28.27,14.54,0.5225,54.92,1.6875
41.34,28.3,14.54,0.5225,54.92,1.6875
41.34,28.33,14.54,0.5225,54.92,1.6875
41.34,28.36,14.54,0.5225,54.92,1.6875
41.34,28.39,14.54,0.5225,54.92,1.6875
41.34,28.42,14.54,0.5225,54.92,1.6875
41.34,28.45,14.54,0.5225,54.92,1.8825
41.34,28.48,14.54,0.5225,54.92,1.8825
41.34,28.51,14.54,0.5225,54.92,1.8825
41.34,28.54,14.54,0.5225,54.92,1.8825
41.34,28.57,14.54,0.5225,54.92,1.8825
41.34,28.6,14.54,0.5225,54.92,1.8825
41.34,28.63,14.54,0.5225,54.92,1.8825
41.34,28.66,14.54,0.5225,54.92,1.8825
41.36,28.09,14.54,0.5225,54.92,1.6875
41.36,28.12,14.54,0.5225,54.92,1.6875
41.36,28.15,14.54,0.5225,54.92,1.6875
41.36,28.18,14.54,0.5225,54.92,1.6875
41.36,28.21,14.54,0.5225,54.92,1.6875
41.36,28.24,14.54,0.5225,54.92,1.6875
41.36,28.27,14.54,0.5225,54.92,1.6875
41.36,28.3,14.54,0.5225,54.92,1.6875
41.36,28.33,14.54,0.5225,54.92,1.6875
41.36,28.36,14.54,0.5225,54.92,1.6875
41.36,28.39,14.54,0.5225,54.92,1.6875
41.36,28.42,14.54,0.5225,54.92,1.6875
41.36,28.45,14.54,0.5225,54.92,1.8825
41.36,28.48,14.54,0.5225,54.92,1.8825
41.36,28.51,14.54,0.5225,54.92,1.8825
41.36,28.54,14.54,0.5225,54.92,1.8825
41.36,28.57,14.54,0.5225,54.92,1.8825
41.36,28.6,14.54,0.5225,54.92,1.8825
41.38,28.12,14.54,0.5225,54.92,1.6875
41.38,28.15,14.54,0.5225,54.92,1.6875
41.38,28.18,14.54,0.5225,54.92,1.6875
41.38,28.21,14.54,0.5225,54.92,1.6875
41.38,28.24,14.54,0.5225,54.92,1.6875
41.38,28.27,14.54,0.5225,54.92,1.6875
41.38,28.3,14.54,0.5225,54.92,1.6875
