lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.0,28.69,14.54,0.5225,54.92,1.6425
41.0,28.72,14.54,0.5225,54.92,1.6425
41.0,28.75,14.54,0.5225,54.92,1.6425
41.0,28.78,14.54,0.5225,54.92,1.6425
41.0,28.81,14.54,0.5225,54.92,1.6425
41.0,28.84,14.54,0.5225,54.92,1.6425
41.0,28.87,14.54,0.5225,54.92,1.6425
41.0,28.9,14.54,0.5225,54.92,1.6425
41.0,28.93,14.54,0.5225,54.92,1.6425
41.0,28.96,14.54,0.5225,54.92,1.6425
41.0,29.02,14.62,0.5275,62.865,1.6425
41.0,29.05,14.62,0.5275,62.865,1.6425
41.0,29.08,14.62,0.5275,62.865,1.86
41.0,29.11,14.62,0.5275,62.865,1.86
41.0,29.14,14.62,0.5275,62.865,1.86
41.0,29.17,14.62,0.5275,62.865,1.86
41.0,29.2,14.62,0.5275,62.865,1.86
41.0,29.23,14.62,0.5275,62.865,1.86
41.0,29.26,14.62,0.5275,62.865,1.86
41.0,29.29,14.62,0.5275,62.865,1.86
41.0,29.32,14.62,0.5275,62.865,1.86
41.0,29.35,14.62,0.5275,62.865,1.86
41.0,29.38,14.62,0.5275,62.865,1.86
41.0,29.41,14.62,0.5275,62.865,1.86
41.0,29.44,14.62,0.5275,62.865,1.86
41.0,29.47,14.62,0.5275,62.865,1.86
41.0,29.5,14.62,0.5275,62.865,1.86
41.0,29.62,14.62,0.5275,62.865,1.86
41.0,29.65,14.62,0.5275,62.865,1.86
41.0,29.68,14.62,0.5275,62.865,1.86
41.0,29.71,14.62,0.5275,62.865,2.305
41.02,28.48,14.54,0.5225,54.92,1.6425
41.02,28.51,14.54,0.5225,54.92,1.6425
41.02,28.54,14.54,0.5225,54.92,1.6425
41.02,28.6,14.54,0.5225,54.92,1.6425
41.02,28.63,14.54,0.5225,54.92,1.6425
41.02,28.66,14.54,0.5225,54.92,1.6425
41.02,28.69,14.54,0.5225,54.92,1.6425
41.02,28.72,14.54,0.5225,54.92,1.6425
41.02,28.75,14.54,0.5225,54.92,1.6425
41.02,28.78,14.54,0.5225,54.92,1.6425
41.02,28.81,14.54,0.5225,54.92,1.6425
41.02,28.84,14.54,0.5225,54.92,1.6425
41.02,28.87,14.54,0.5225,54.92,1.6425
41.02,28.9,14.54,0.5225,54.92,1.6425
41.02,28.93,14.54,0.5225,54.92,1.6425
41.02,28.96,14.54,0.5225,54.92,1.6425
41.02,29.02,14.62,0.5275,62.865,1.6425
41.02,29.05,14.62,0.5275,62.865,1.6425
41.02,29.08,14.62,0.5275,62.865,1.86
41.02,29.11,14.62,0.5275,62.865,1.86
41.02,29.14,14.62,0.5275,62.865,1.86
41.02,29.17,14.62,0.5275,62.865,1.86
41.02,29.2,14.62,0.5275,62.865,1.86
41.02,29.23,14.62,0.5275,62.865,1.86
41.02,29.26,14.62,0.5275,62.865,1.86
41.02,29.29,14.62,0.5275,62.865,1.86
41.02,29.32,14.62,0.5275,62.865,1.86
41.02,29.35,14.62,0.5275,62.865,1.86
41.02,29.38,14.62,0.5275,62.865,1.86
41.02,29.41,14.62,0.5275,62.865,1.86
41.02,29.44,14.62,0.5275,62.865,1.86
41.02,29.47,14.62,0.5275,62.865,1.86
41.02,29.5,14.62,0.5275,62.865,1.86
41.02,29.62,14.62,0.5275,62.865,1.86
41.02,29.65,14.62,0.5275,62.865,1.86
41.02,29.68,14.62,0.5275,62.865,1.86
41.02,29.83,14.62,0.5275,62.865,2.305
41.04,28.03,14.54,0.5225,54.92,1.66
41.04,28.42,14.54,0.5225,54.92,1.66
41.04,28.45,14.54,0.5225,54.92,1.6425
41.04,28.48,14.54,0.5225,54.92,1.6425
41.04,28.51,14.54,0.5225,54.92,1.6425
41.04,28.54,14.54,0.5225,54.92,1.6425
41.04,28.6,14.54,0.5225,54.92,1.6425
41.04,28.63,14.54,0.5225,54.92,1.6425
41.04,28.66,14.54,0.5225,54.92,1.6425
41.04,28.69,14.54,0.5225,54.92,1.6425
41.04,28.72,14.54,0.5225,54.92,1.6425
41.04,28.75,14.54,0.5225,54.92,1.6425
41.04,28.78,14.54,0.5225,54.92,1.6425
41.04,28.81,14.54,0.5225,54.92,1.6425
41.04,28.84,14.54,0.5225,54.92,1.6425
41.04,28.87,14.54,0.5225,54.92,1.6425
41.04,28.9,14.54,0.5225,54.92,1.6425
41.04,28.93,14.54,0.5225,54.92,1.6425
41.04,28.96,14.54,0.5225,54.92,1.6425
41.04,28.99,14.54,0.5225,54.92,1.6425
41.04,29.05,14.62,0.5275,62.865,1.6425
41.04,29.08,14.62,0.5275,62.865,1.86
41.04,29.11,14.62,0.5275,62.865,1.86
41.04,29.14,14.62,0.5275,62.865,1.86
41.04,29.17,14.62,0.5275,62.865,1.86
41.04,29.2,14.62,0.5275,62.865,1.86
41.04,29.23,14.62,0.5275,62.865,1.86
41.04,29.26,14.62,0.5275,62.865,1.86
41.04,29.29,14.62,0.5275,62.865,1.86
41.04,29.32,14.62,0.5275,62.865,1.86
41.04,29.35,14.62,0.5275,62.865,1.86
41.04,29.38,14.62,0.5275,62.865,1.86
