lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.22,28.66,14.54,0.5225,54.92,1.6425
41.22,28.69,14.54,0.5225,54.92,1.6425
41.22,28.72,14.54,0.5225,54.92,1.6425
41.22,28.75,14.54,0.5225,54.92,1.6425
41.22,28.78,14.54,0.5225,54.92,1.6425
41.22,28.81,14.54,0.5225,54.92,1.6425
41.22,28.84,14.54,0.5225,54.92,1.6425
41.22,28.87,14.54,0.5225,54.92,1.6425
41.22,28.9,14.54,0.5225,54.92,1.6425
41.22,28.93,14.54,0.5225,54.92,1.6425
41.22,28.96,14.54,0.5225,54.92,1.6425
41.22,28.99,14.54,0.5225,54.92,1.6425
41.22,29.02,14.62,0.5275,62.865,1.6425
41.22,29.05,14.62,0.5275,62.865,1.6425
41.22,29.08,14.62,0.5275,62.865,1.86
41.22,29.23,14.62,0.5275,62.865,1.86
41.22,29.26,14.62,0.5275,62.865,1.86
41.24,28.0,14.54,0.5225,54.92,1.66
41.24,28.03,14.54,0.5225,54.92,1.66
41.24,28.06,14.54,0.5225,54.92,1.66
41.24,28.09,14.54,0.5225,54.92,1.66
41.24,28.12,14.54,0.5225,54.92,1.66
41.24,28.15,14.54,0.5225,54.92,1.66
41.24,28.18,14.54,0.5225,54.92,1.66
41.24,28.21,14.54,0.5225,54.92,1.66
41.24,28.24,14.54,0.5225,54.92,1.66
41.24,28.27,14.54,0.5225,54.92,1.66
41.24,28.3,14.54,0.5225,54.92,1.66
41.24,28.33,14.54,0.5225,54.92,1.66
41.24,28.36,14.54,0.5225,54.92,1.66
41.24,28.39,14.54,0.5225,54.92,1.66
41.24,28.42,14.54,0.5225,54.92,1.66
41.24,28.45,14.54,0.5225,54.92,1.6425
41.24,28.48,14.54,0.5225,54.92,1.6425
41.24,28.51,14.54,0.5225,54.92,1.6425
41.24,28.54,14.54,0.5225,54.92,1.6425
41.24,28.57,14.54,0.5225,54.92,1.6425
41.24,28.6,14.54,0.5225,54.92,1.6425
41.24,28.63,14.54,0.5225,54.92,1.6425
41.24,28.66,14.54,0.5225,54.92,1.6425
41.24,28.69,14.54,0.5225,54.92,1.6425
41.24,28.72,14.54,0.5225,54.92,1.6425
41.24,28.75,14.54,0.5225,54.92,1.6425
41.24,28.78,14.54,0.5225,54.92,1.6425
41.24,28.81,14.54,0.5225,54.92,1.6425
41.24,28.84,14.54,0.5225,54.92,1.6425
41.24,28.87,14.54,0.5225,54.92,1.6425
41.24,28.9,14.54,0.5225,54.92,1.6425
41.24,28.93,14.54,0.5225,54.92,1.6425
41.24,28.96,14.54,0.5225,54.92,1.6425
41.24,28.99,14.54,0.5225,54.92,1.6425
41.24,29.02,14.62,0.5275,62.865,1.6425
41.24,29.05,14.62,0.5275,62.865,1.6425
41.24,29.08,14.62,0.5275,62.865,1.86
41.26,28.06,14.54,0.5225,54.92,1.6875
41.26,28.09,14.54,0.5225,54.92,1.6875
41.26,28.12,14.54,0.5225,54.92,1.6875
41.26,28.15,14.54,0.5225,54.92,1.6875
41.26,28.18,14.54,0.5225,54.92,1.6875
41.26,28.21,14.54,0.5225,54.92,1.6875
41.26,28.24,14.54,0.5225,54.92,1.6875
41.26,28.27,14.54,0.5225,54.92,1.6875
41.26,28.3,14.54,0.5225,54.92,1.6875
41.26,28.33,14.54,0.5225,54.92,1.6875
41.26,28.36,14.54,0.5225,54.92,1.6875
41.26,28.39,14.54,0.5225,54.92,1.6875
41.26,28.42,14.54,0.5225,54.92,1.6875
41.26,28.45,14.54,0.5225,54.92,1.8825
41.26,28.48,14.54,0.5225,54.92,1.8825
41.26,28.51,14.54,0.5225,54.92,1.8825
41.26,28.54,14.54,0.5225,54.92,1.8825
41.26,28.57,14.54,0.5225,54.92,1.8825
41.26,28.6,14.54,0.5225,54.92,1.8825
41.26,28.63,14.54,0.5225,54.92,1.8825
41.26,28.66,14.54,0.5225,54.92,1.8825
41.26,28.69,14.54,0.5225,54.92,1.8825
41.26,28.72,14.54,0.5225,54.92,1.8825
41.26,28.75,14.54,0.5225,54.92,1.8825
41.26,28.78,14.54,0.5225,54.92,1.8825
41.26,28.81,14.54,0.5225,54.92,1.8825
41.26,28.84,14.54,0.5225,54.92,1.8825
41.26,28.87,14.54,0.5225,54.92,1.8825
41.26,28.9,14.54,0.5225,54.92,1.8825
41.28,28.09,14.54,0.5225,54.92,1.6875
41.28,28.12,14.54,0.5225,54.92,1.6875
41.28,28.15,14.54,0.5225,54.92,1.6875
41.28,28.18,14.54,0.5225,54.92,1.6875
41.28,28.21,14.54,0.5225,54.92,1.6875
41.28,28.24,14.54,0.5225,54.92,1.6875
41.28,28.27,14.54,0.5225,54.92,1.6875
41.28,28.3,14.54,0.5225,54.92,1.6875
41.28,28.33,14.54,0.5225,54.92,1.6875
41.28,28.36,14.54,0.5225,54.92,1.6875
41.28,28.39,14.54,0.5225,54.92,1.6875
41.28,28.42,14.54,0.5225,54.92,1.6875
41.28,28.45,14.54,0.5225,54.92,1.8825
41.28,28.48,14.54,0.5225,54.92,1.8825
41.28,28.51,14.54,0.5225,54.92,1.8825
41.28,28.54,14.54,0.5225,54.92,1.8825
41.28,28.57,14.54,0.5225,54.92,1.8825
